ID_BVOTE;SCRUTIN;ANNEE;TOUR;DATE;NUM_CIRC;NUM_QUARTIER;NUM_ARROND;NUM_BUREAU;NB_PROCU;NB_INSCR;NB_EMARG;NB_VOTANT;NB_BLANC;NB_NUL;NB_EXPRIM;M. BONY Clément (LFI);M. MILLOT Georges (LO);M. GRÉGOIRE Emmanuel   (PS);Mme MAGNAN Annick  (RN);Mme MAZETIER Sandrine (LREM Buzyn);Mme MONTANDON Valérie  (LR);M. REBOURG Patrick (LREM Villani);Mme ELBAZ Caroline  (Marcel Campion);Mme PIERRE-MARIE Emmanuelle  (Les écologiste);geo_shape;geo_point_2d;st_area(shape);st_perimeter(shape);Taux abstention;Taux d'abstention en %
1;Municipales;2020;1;15/03/20;8;46;12;1;28;1231;586;592;3;2;586;19;8;217;4;99;126;37;2;80;"{""coordinates"":[[[2.389272431742344,48.84101560337866],[2.391769262584658,48.840491418098146],[2.3923056314080386,48.840378546572396],[2.392323476103674,48.84036124988413],[2.3922018873616704,48.840192110846694],[2.3901200638772715,48.839335159399795],[2.389286495047993,48.83898899437953],[2.3876406363931824,48.84084275389235],[2.388231078943331,48.84124418351357],[2.3882630212865,48.841246679804584],[2.389272431742344,48.84101560337866]]],""type"":""Polygon""}";48.84021535170182, 2.389732082780912;42555,25499;891,0318234;52;52 %
2;Municipales;2020;1;15/03/20;8;46;12;2;18;1303;553;554;4;6;544;25;2;196;10;83;103;46;3;76;"{""coordinates"":[[[2.3933914081639127,48.84106743096837],[2.3937275295082343,48.84130543814853],[2.3940552761978067,48.84102809214281],[2.394683177631227,48.840489027950255],[2.394714348259523,48.840485572045516],[2.3949982119353574,48.84060228174126],[2.3953562993080753,48.84026390560611],[2.395098827656125,48.840165205870825],[2.3950866166268834,48.84013976056927],[2.3957559813091436,48.83957920031195],[2.394272689456125,48.83932705790896],[2.3931432821461494,48.838541231690336],[2.3919398507262786,48.83919017504769],[2.3903404602695804,48.839073209670765],[2.3901200638772715,48.839335159399795],[2.3922018873616704,48.840192110846694],[2.392323476103674,48.84036124988413],[2.3923056314080386,48.840378546572396],[2.391769262584658,48.840491418098146],[2.391937486973181,48.84129865231805],[2.3919679098124145,48.84130469416525],[2.3933914081639127,48.84106743096837]]],""type"":""Polygon""}";48.83994056123301, 2.3931077683616855;61661,35247;1271,435221;58;58 %
3;Municipales;2020;1;15/03/20;8;46;12;3;13;1393;590;590;4;9;577;22;2;200;9;101;130;42;6;65;"{""coordinates"":[[[2.3994577326413253,48.84045570913117],[2.400506570378146,48.84050691558177],[2.400581433234603,48.84044115630784],[2.4003045320388052,48.839627856641755],[2.4002436455975222,48.83958060386448],[2.396700914268182,48.83958262698226],[2.3957559813091436,48.83957920031195],[2.3950866166268834,48.84013976056927],[2.395098827656125,48.840165205870825],[2.3953562993080753,48.84026390560611],[2.396075669816893,48.84054140286101],[2.3988027040751705,48.841124627365176],[2.3988314641367845,48.84111482408556],[2.3994577326413253,48.84045570913117]]],""type"":""Polygon""}";48.8401734001618, 2.3979555566047766;46270,50886;979,9342327;58;58 %
4;Municipales;2020;1;15/03/20;8;46;12;4;27;1457;572;572;2;11;559;30;6;203;4;97;123;30;2;64;"{""coordinates"":[[[2.4002436455975222,48.83958060386448],[2.4003222801927304,48.83953272311723],[2.4003217365448997,48.83951425112201],[2.400667692339706,48.839187027570986],[2.401280946947284,48.83859666958016],[2.4022666784572735,48.837349175190596],[2.4021979731596845,48.83719056656636],[2.4021496568535774,48.837231626502806],[2.399414832764225,48.83821054065557],[2.396686566308585,48.839195930994755],[2.396700914268182,48.83958262698226],[2.4002436455975222,48.83958060386448]]],""type"":""Polygon""}";48.83873081359895, 2.3996033081297097;46232,20592;1074,09892;61;61 %
5;Municipales;2020;1;15/03/20;8;46;12;5;37;1451;663;663;6;7;650;21;4;183;12;108;196;55;2;69;"{""coordinates"":[[[2.3977934370578184,48.842349193238604],[2.400383429446017,48.84252257138104],[2.401270790486256,48.84233882782806],[2.4008793877339256,48.841274325357304],[2.400944740481975,48.84120515736264],[2.4008416210306947,48.841162344054666],[2.400581433234603,48.84044115630784],[2.400506570378146,48.84050691558177],[2.3994577326413253,48.84045570913117],[2.3988314641367845,48.84111482408556],[2.3988027040751705,48.841124627365176],[2.396075669816893,48.84054140286101],[2.3953562993080753,48.84026390560611],[2.3949982119353574,48.84060228174126],[2.394714348259523,48.840485572045516],[2.394683177631227,48.840489027950255],[2.3940552761978067,48.84102809214281],[2.3950263754131127,48.8415160775526],[2.395212866368824,48.84296915326019],[2.395196126802143,48.84299595944479],[2.397175792624204,48.84301720251622],[2.3972294447014577,48.843017714789234],[2.3977934370578184,48.842349193238604]]],""type"":""Polygon""}";48.8416496808439, 2.3976608937724895;100490,5238;1565,994889;54;54 %
6;Municipales;2020;1;15/03/20;8;46;12;6;52;1548;661;661;4;10;647;22;6;209;6;107;173;54;3;67;"{""coordinates"":[[[2.3981627252722535,48.845321404117264],[2.3982164009736833,48.845361142370045],[2.398251362492059,48.84531377646355],[2.402202042646666,48.844968311015684],[2.402268556540335,48.84499156974381],[2.4022463773746607,48.84494521853502],[2.4022902032579347,48.844922173859324],[2.402220399104743,48.84488842749739],[2.401270790486256,48.84233882782806],[2.400383429446017,48.84252257138104],[2.3977934370578184,48.842349193238604],[2.3972294447014577,48.843017714789234],[2.397175792624204,48.84301720251622],[2.3971981692821056,48.84305402976661],[2.395100328518742,48.84557567435741],[2.3981627252722535,48.845321404117264]]],""type"":""Polygon""}";48.84400907800107, 2.398976548127378;122472,9545;1516,737286;57;57 %
7;Municipales;2020;1;15/03/20;8;46;12;7;35;1511;804;804;3;10;791;28;0;225;5;160;230;62;3;78;"{""coordinates"":[[[2.395100328518742,48.84557567435741],[2.3971981692821056,48.84305402976661],[2.397175792624204,48.84301720251622],[2.395196126802143,48.84299595944479],[2.394777991747937,48.84361389999451],[2.3934429011351104,48.84559054537249],[2.3946147828972904,48.84613625840303],[2.395100328518742,48.84557567435741]]],""type"":""Polygon""}";48.84438257219081, 2.39519603527187;42600,13448;962,555082;47;47 %
8;Municipales;2020;1;15/03/20;8;46;12;8;22;1419;589;589;8;12;569;38;5;161;7;102;145;47;7;57;"{""coordinates"":[[[2.395196126802143,48.84299595944479],[2.395212866368824,48.84296915326019],[2.3950263754131127,48.8415160775526],[2.3940552761978067,48.84102809214281],[2.3937275295082343,48.84130543814853],[2.3921893290758485,48.84263049479504],[2.391956791686845,48.84280253678618],[2.394777991747937,48.84361389999451],[2.395196126802143,48.84299595944479]]],""type"":""Polygon""}";48.84240316327018, 2.393942542586154;39075,25074;806,4277712;59;59 %
9;Municipales;2020;1;15/03/20;8;46;12;9;25;1434;527;527;6;13;508;47;1;175;9;62;111;41;4;58;"{""coordinates"":[[[2.391956791686845,48.84280253678618],[2.3921893290758485,48.84263049479504],[2.3937275295082343,48.84130543814853],[2.3933914081639127,48.84106743096837],[2.3919679098124145,48.84130469416525],[2.391937486973181,48.84129865231805],[2.391769262584658,48.840491418098146],[2.389272431742344,48.84101560337866],[2.3894580707234114,48.84137711349832],[2.389785451864279,48.841339780482876],[2.389805289780359,48.84134796782174],[2.3900170918016834,48.84172261693284],[2.390007950171019,48.84174406951347],[2.3894666179898474,48.84187632703729],[2.3894590476088515,48.841897272260304],[2.3898383423063714,48.84264552551994],[2.3912570155848702,48.84330761919308],[2.391956791686845,48.84280253678618]]],""type"":""Polygon""}";48.84181752590636, 2.3912632529145044;54930,98967;1092,035863;63;63 %
10;Municipales;2020;1;15/03/20;8;46;12;10;26;1537;628;628;1;6;621;30;3;221;3;100;117;56;2;89;"{""coordinates"":[[[2.387735123168474,48.84592510207235],[2.3883250804084577,48.8458040832896],[2.3892269256388254,48.84507555583866],[2.3899481775051123,48.84448610525994],[2.38590588028224,48.84265993348978],[2.385532886136203,48.8430371206084],[2.385663162357011,48.84311762939067],[2.3849976973187146,48.84376404637176],[2.3845631077190177,48.84542373404412],[2.3847047200711806,48.84574788566002],[2.3849459716616805,48.84586740781044],[2.3852327400169697,48.8458259806315],[2.3861496807156386,48.84631886599607],[2.3863869174428993,48.84613675728788],[2.3871835298258963,48.84641903652323],[2.38721273775244,48.846417704890904],[2.387735123168474,48.84592510207235]]],""type"":""Polygon""}";48.8446694422134, 2.3868630407106903;95882,58646;1261,119822;59;59 %
